date_of_contract,municipality_name,zone_name,real_estate_type,area_in_square_meters,price_per_square_foot
2025-01-26,Doha,Al Dafna 60,Residential Unit,148,1487.35
2025-01-26,Doha,Old Airport,Residence,406,641.0
2025-01-26,Doha,Onaiza 65,Residence,1225,303.0
2025-01-26,Doha,Al Thumama 46,Vacant Land,426,375.0
2025-01-26,Doha,The Pearl Island,Residential Unit,145,1181.08
2025-01-26,Doha,Al Dafna 60,Residential Unit,148,1421.42
2025-01-26,Doha,Al Dafna 60,Residential Unit,148,1440.0
2025-01-26,Doha,Nuaija 41,Vacant Land,539,431.0
2025-01-26,Doha,Old Airport,Residential Building,486,1195.0
2025-01-23,Doha,The Pearl Island,Residential Unit,58,1661.24
2025-01-23,Doha,The Pearl Island,Residential Unit,59,2345.64
2025-01-23,Doha,The Pearl Island,Residential Unit,140,1088.86
2025-01-23,Doha,Al Hilal,Vacant Land,848,237.0
2025-01-23,Doha,Al Maamoura 43,Residence,798,349.0
2025-01-23,Doha,Al Hilal,Vacant Land,1035,359.0
2025-01-23,Doha,Madinat Khalifa South,Residential Building,616,1591.0
2025-01-23,Doha,The Pearl Island,Residential Unit,86,1441.76
2025-01-23,Doha,Rawdat Al Khail,Residential Building,335,1387.0
2025-01-23,Doha,Fereej Bin Omran,Residence,170,1066.0
2025-01-23,Doha,The Pearl Island,Residential Unit,180,1262.06
2025-01-23,Doha,The Pearl Island,Residential Unit,184,1260.76
2025-01-22,Doha,Al Rufaa,Residence,213,654.0
2025-01-22,Doha,Legtaifiya,Residential Unit,138,905.8
2025-01-22,Doha,Al Rufaa,Residence,286,844.0
2025-01-22,Doha,Old Al Ghanim 16,Residence,239,1030.0
2025-01-22,Doha,The Pearl Island,Residential Unit,172,999.07
2025-01-22,Doha,The Pearl Island,Residential Unit,152,1128.15
2025-01-22,Doha,The Pearl Island,Residential Unit,175,1058.18
2025-01-22,Doha,Al Thumama 46,Residence,420,553.0
2025-01-21,Doha,The Pearl Island,Residential Unit,139,1171.83
2025-01-21,Doha,The Pearl Island,Residential Unit,213,956.36
2025-01-21,Doha,The Pearl Island,Residential Unit,213,956.14
2025-01-21,Doha,Old Airport,Vacant Land,828,579.0
2025-01-21,Doha,The Pearl Island,Residential Unit,59,1609.32
2025-01-21,Doha,The Pearl Island,Residential Unit,191,1327.88
2025-01-21,Doha,Umm Lekhba,Residence,900,470.0
2025-01-21,Doha,Fereej Al Nasr,Residence,1321,662.0
2025-01-21,Doha,Fereej Bin Derhem,Residential Building,120,929.0
2025-01-21,Doha,The Pearl Island,Residential Unit,171,935.14
2025-01-21,Doha,Al Thumama 50,Vacant Land,571,295.0
2025-01-21,Doha,The Pearl Island,Residential Unit,214,956.32
2025-01-21,Doha,Najma,Commercial Building,1250,2601.0
2025-01-20,Doha,The Pearl Island,Residential Unit,112,1235.52
2025-01-20,Doha,Umm Ghuwailina,Residence,239,933.0
2025-01-19,Doha,Old Airport,Residence,467,458.0
2025-01-19,Doha,New Al Hitmi,Vacant Land,464,641.0
2025-01-19,Doha,Madinat Khalifa South,Residence,916,551.0
2025-01-19,Doha,Madinat Khalifa South,Residence,834,630.0
2025-01-19,Doha,Nuaija 44,Residence,1616,450.0
2025-01-19,Doha,Old Airport,Commercial Building,1608,2667.0
2025-01-19,Doha,The Pearl Island,Residential Unit,59,1720.14
2025-01-19,Doha,The Pearl Island,Residential Unit,76,1738.03
2025-01-19,Doha,Najma,Residential Building,145,1179.0
2025-01-19,Doha,The Pearl Island,Residential Unit,77,1733.47
2025-01-19,Doha,The Pearl Island,Residential Unit,76,1739.82
2025-01-19,Doha,Fereej Al Nasr,Residence,874,662.0
2025-01-19,Doha,Old Airport,Residential Building,462,1287.0
2025-01-19,Doha,Al Thumama 47,Residence,1819,500.0
2025-01-19,Doha,Al Thumama 47,Residence,2034,500.0
2025-01-19,Doha,Old Airport,Commercial Building,562,2667.0
2025-01-16,Doha,The Pearl Island,Residential Unit,139,1235.55
2025-01-16,Doha,Al Messila,Residence,889,690.0
2025-01-16,Doha,Rawdat Al Khail,Residential Building,451,1442.0
2025-01-16,Doha,Al Mansoura,Residential Building,589,1814.0
2025-01-16,Doha,The Pearl Island,Residential Unit,62,1487.88
2025-01-16,Doha,The Pearl Island,Residential Unit,74,1565.29
2025-01-16,Doha,The Pearl Island,Residential Unit,144,929.35
2025-01-16,Doha,The Pearl Island,Residential Unit,124,1192.02
2025-01-16,Doha,The Pearl Island,Residential Unit,139,1129.88
2025-01-16,Doha,The Pearl Island,Residential Unit,191,997.34
2025-01-16,Doha,The Pearl Island,Residential Unit,118,2539.68
2025-01-16,Doha,Dahl Al Hamam,Vacant Land,956,389.0
2025-01-16,Doha,Old Airport,Residence,983,548.0
2025-01-16,Doha,Fereej Bin Omran,Vacant Land,1360,512.0
2025-01-16,Doha,The Pearl Island,Residential Unit,87,1114.46
2025-01-16,Doha,The Pearl Island,Residential Unit,175,1503.68
2025-01-16,Doha,Jeryan Najima,Residence,1225,326.0
2025-01-16,Doha,Old Airport,Residential Building,357,1171.0
2025-01-15,Doha,The Pearl Island,Residential Unit,73,1267.09
2025-01-15,Doha,The Pearl Island,Residential Unit,59,1556.16
2025-01-15,Doha,The Pearl Island,Residential Unit,59,1871.16
2025-01-15,Doha,Al Maamoura 43,Residence,322,364.0
2025-01-15,Doha,The Pearl Island,Residential Unit,86,1388.37
2025-01-15,Doha,Al Maamoura 43,Residence,481,364.0
2025-01-15,Doha,Old Airport,Residence,608,405.0
2025-01-15,Doha,Madinat Khalifa South,Residential Building,211,1321.0
2025-01-15,Doha,Fereej Kulaib,Residence,900,723.0
2025-01-15,Doha,The Pearl Island,Residential Unit,59,1550.45
2025-01-15,Doha,The Pearl Island,Residential Unit,74,1379.69
2025-01-15,Doha,Najma,Residence,249,746.0
2025-01-15,Doha,The Pearl Island,Residential Unit,175,1061.74
2025-01-15,Doha,Umm Lekhba,Residential Building,549,1421.0
2025-01-15,Doha,Legtaifiya,Vacant Land,1579,741.0
2025-01-15,Doha,The Pearl Island,Residential Unit,132,996.59
2025-01-15,Doha,The Pearl Island,Residential Unit,137,964.58
2025-01-15,Doha,The Pearl Island,Residential Unit,124,1229.47
2025-01-15,Doha,The Pearl Island,Residential Unit,124,1259.27
2025-01-15,Doha,New Slata,Residence,450,351.0
2025-01-15,Doha,The Pearl Island,Residential Unit,166,978.34
2025-01-14,Doha,The Pearl Island,Residential Unit,87,1376.66
